"Input","Output","InputBytes","OutputBytes","SavedPercent","Status"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\cosine_similarity_vectors.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\cosine_similarity_vectors.png.jxl","61009","38351","37.14","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\curl_error_screenshot.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\curl_error_screenshot.png.jxl","9804","6994","28.66","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\plda_concept_clusters.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\plda_concept_clusters.png.jxl","100050","106510","-6.46","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\select_GPU_on_Kaggle.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\select_GPU_on_Kaggle.png.jxl","45717","26464","42.11","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\pre_memo\error_statement.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\pre_memo\error_statement.png.jxl","41757","30592","26.74","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\det_curve.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\det_curve.png.jxl","216480","140136","35.27","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\det_curve.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\det_curve.webp.jxl","18636","23802","-27.72","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\env_id_correlation.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\env_id_correlation.png.jxl","104318","82209","21.19","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\env_id_correlation.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\env_id_correlation.webp.jxl","10780","19400","-79.96","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\env_id_heatmap.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\env_id_heatmap.png.jxl","103436","73626","28.82","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\env_id_heatmap.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\env_id_heatmap.webp.jxl","16166","22066","-36.5","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\la_method_id_correlation.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\la_method_id_correlation.png.jxl","87896","61485","30.05","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\la_method_id_correlation.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\la_method_id_correlation.webp.jxl","7720","13191","-70.87","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\la_method_id_heatmap.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\la_method_id_heatmap.png.jxl","76994","52275","32.11","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\la_method_id_heatmap.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\la_method_id_heatmap.webp.jxl","11546","15656","-35.6","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\mic_id_correlation.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\mic_id_correlation.png.jxl","104299","78722","24.52","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\mic_id_correlation.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\mic_id_correlation.webp.jxl","10160","17702","-74.23","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\mic_id_heatmap.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\mic_id_heatmap.png.jxl","90568","59128","34.71","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\mic_id_heatmap.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\mic_id_heatmap.webp.jxl","13378","17816","-33.17","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\roc_curve.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\roc_curve.png.jxl","199976","139251","30.37","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\roc_curve.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\roc_curve.webp.jxl","19274","23967","-24.35","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\room_id_correlation.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\room_id_correlation.png.jxl","106116","83580","21.24","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\room_id_correlation.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\room_id_correlation.webp.jxl","10620","19074","-79.6","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\room_id_heatmap.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\room_id_heatmap.png.jxl","107269","73741","31.26","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\room_id_heatmap.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\room_id_heatmap.webp.jxl","15730","22288","-41.69","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\score_distribution.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\score_distribution.png.jxl","92679","93286","-0.65","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\score_distribution.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_ASV2019\testing_on_J-SpAW-LA\score_distribution.webp.jxl","13938","21103","-51.41","ok"
